-59.9;-41.33333333
-63;-46.5
-68.88888889;-59.4
-60.22222222;-56.22222222
-83.2;-55.8
-75.3;-63.4
-76.77777778;-73.4
-71.8;-70.6
-79.4;-71.2
-87.88888889;-79.1
-92.1;-78.8
-85.7;-80.1
-82.5;-88.3
-73.3;-83.7
-79.33333333;-86.2
-79.2;-82.3
-78;-88.2
-79.55555556;-81.3
-80.1;-84.2
-78.9;-98.11111111
-89.5;-95.1
-93.7;-94.2
-92.9;-89.6
-102.9;-89.2
-96.3;-88.8
-94.8;-100.2
-95;-94.8
-93.3;-95
-93.8;-94.5
-107.2222222;-89.55555556
-102.375;-89.9
-99.9;-95
-99.5;-103.6
-110.5;-98.8
-103.5;-110.5
-109.5555556;-96.9
-101.1;-105.4
-112.1;-108.4444444
-112.2;-102.7777778
-103.7;-113
-113.5;-111.4444444
-108.7777778;-112.3
-116;-112.5
-106.1;-114.2
-112.3;-116.2
-117.4;-118.8888889
-115.8;-117.2222222
-116.2;-117.9
-118.7777778;-117.6666667
-119.3;-115.8
-119.1111111;-112.6
-119.6666667;-117.2
-118.6;-109.6
-118;-111
-109.2;-118.5
-109.1;-119.2
-107.2;-119.1111111
-110.3;-119.9
-114.3;-119.3333333
-118.75;-119.375
-115.8;-120
-118.4;-119.125
-115;-119.625
-119.2;-112
-119.4;-116.9
-119.125;-119.2222222
-119.5;-119.2222222
-119.125;-119.4
-119.1111111;-119.7142857
-119;-118.5
-120;-119.4444444
-117;-119.5555556
-120.5;-119.1
-120;-120
-119;-119.7142857
-119.5;-119.3333333
-119.375;-120
-118;-120.2
-118.75;-119.5
-119.8333333;-119.75
